"bsn",Parkplatz für Schwerbehinderte vorhanden,Rollstuhlgerechter Aufzug,Rollstuhlgerechtes WC,Zugänglich für Rollstuhlbenutzer,Beratungsstelle für Hörbehinderte,Beratungsstelle für Sprachbehinderte
"10P14",,,,,,
"10P15",,,,,,
"10S04",,1,1,1,,
"10S07",1,1,1,1,,
"10S08",,1,1,1,,
"10S10",1,,,,,
"10S11",,1,1,1,,1
"10Y01",,,,,,
"10Y02",,,,,,
"10Y03",1,1,1,1,,
"10Y08",1,1,1,1,,
"10Y11",1,,,,,
"11A02",,,,,,
"11A06",,,,,,
"11A07",,,1,,,
"11A08",,,,,,
"11B01",1,1,1,1,,
"11B01",1,1,1,1,,
"11B01",1,1,1,1,,
"11B02",1,1,1,1,,
"11B02",1,1,1,1,,
"11B02",1,1,1,1,,
"11B02",1,1,1,1,,
"11B02",1,1,1,1,,
"11B03",1,1,,1,,
"11B03",1,1,,1,,
"11B03",1,1,,1,,
"11B03",1,1,,1,,
"11E05",,,,,,
"11E06",,,,,,
"11E08",,,,,,
"11E09",,,,,,
"11E11",,,,,,
"11E12",,,,,,
"11E13",1,1,,1,,
"11E14",,,,,,
"11G01",,,1,,,
"11G02",,,1,,,
"11G03",1,,1,,,
"11G05",,,1,,,
"11G06",,,1,,,
"11G07",1,,1,,,
"11G08",,,,,,
"11G09",,,,,,
"11G10",,,1,,,
"11G11",,,,,,
"11G12",,,1,,,
"11G13",,,1,1,,
"11G14",,,1,,,
"11G15",1,1,1,1,,
"11G16",,,,,,
"11G17",,,1,,,
"11G18",1,,1,,,
"11G19",,,1,,,
"11G21",,,,,,
"11G22",,,,,,
"11G23",,,1,,,
"11G25",,,,,,
"11G26",,,,,,
"11G28",1,1,1,1,,
"11G29",1,1,1,1,,
"11K01",,,,,,
"11K02",,,,,,
"11K04",,,,,,
"11K05",1,1,1,1,,
"11K06",,,1,,,
"11K07",,,,,,
"11K08",,,,,,
"11K09",,,1,,,
"11K10",1,,,,,
"11K11",,,,,,
"11P01",,,,,,
"11P02",1,1,1,1,,
"11P02",1,1,1,1,,
"11P02",1,1,1,1,,
"11P02",1,1,1,1,,
"11P03",1,,,,,
"11P04",,,1,1,,
"11P06",,,,,,
"11P06",,,,,,
"11P06",,,,,,
"11P08",,,,,,
"11P08",,,,,,
"11P09",,,1,1,,
"11P14",,,,,,
"11P14",,,,,,
"11P15",,,,,,
"11S01",,,,,,
"11S02",,,1,,,
"11S04",1,1,1,1,,
"11S05",,,,,,
"11S06",,,1,,,1
"11S07",1,1,1,1,,
"11S07",1,1,1,1,,
"11S08",,,,,,
"11S10",,,,,,
"11S12",1,1,1,1,,
"11Y02",,,,,,
"11Y05",,,,,,
"11Y09",1,1,1,1,,
"11Y10",,,,,,
"11Y11",1,,1,,,
"12A01",,,,,,
"12A02",,,,,,
"12A05",,,,,,
"12A06",,,,,,
"12A07",,,,,,
"12A08",,,,,,
"12A09",,,,,,
"12B01",1,1,1,1,,
"12B01",1,1,1,1,,
"12B01",1,1,1,1,,
"12B01",1,1,1,1,,
"12B02",1,1,1,1,,
"12B02",1,1,1,1,,
"12B02",1,1,1,1,,
"12B02",1,1,1,1,,
"12B02",1,1,1,1,,
"12B02",1,1,1,1,,
"12B03",1,1,1,1,,
"12B03",1,1,1,1,,
"12B03",1,1,1,1,,
"12B03",1,1,1,1,,
"12B03",1,1,1,1,,
"12E01",,,,,,
"12E03",,,,,,
"12E04",,,,,,
"12E05",,,,,,
"12E06",,,,,,
"12G01",,,1,,,
"12G02",,,1,,,
"12G03",1,1,1,1,,
"12G04",,,,,,
"12G05",,,,,,
"12G06",,,,,,
"12G07",1,1,1,1,,
"12G09",,,,,,
"12G10",,,1,,,
"12G11",,,1,,,
"12G12",,,,1,,
"12G13",1,,1,,,
"12G14",,,1,1,,
"12G15",,,1,1,,
"12G17",1,1,1,1,,
"12G18",,,1,1,,
"12G19",,,,,,
"12G20",,,1,1,,
"12G21",,,1,1,,
"12G22",,,,,,
"12G23",,,,1,,
"12G24",1,1,1,1,,
"12G26",,,1,,,
"12G27",,,1,1,,
"12G28",,,,,,
"12G29",,,,1,,
"12G30",,,1,1,,
"12G31",1,1,1,1,,
"12G32",,,1,1,,
"12G33",1,1,1,1,,
"12G34",1,,,1,,
"12K01",,,,,,
"12K02",,1,1,1,,
"12K03",,,,,,
"12K04",,,,,,
"12K05",,,1,1,,
"12K06",,,,,,
"12K07",1,1,1,,,
"12K08",,,1,,,
"12K09",,,,,,
"12K10",,1,1,,,
"12K11",1,,1,1,,
"12P01",,,,,,
"12P02",1,,1,1,,
"12P03",1,1,1,1,,
"12P03",1,1,1,1,,
"12P04",,,,,,
"12P04",,,,,,
"12P06",,,1,1,,
"12P07",,,,,,
"12P07",,,,,,
"12P10",,,,,,
"12P11",,,,,,
"12P13",,,,,,
"12P13",,,,,,
"12P13",,,,,,
"12P14",,,,,,
"12S01",,,,,,
"12S02",,,1,1,,
"12S03",,1,1,1,,1
"12S04",1,1,1,1,,
"12S05",1,1,1,1,,
"12S06",1,1,1,1,,
"12S06",1,1,1,1,,
"12S07",,,,,,
"12Y01",,1,,,,
"12Y02",,,,,,
"12Y03",,,,,,
"12Y04",,,,,,
"12Y05",,1,1,1,,
"12Y06",,,1,,,
"12Y07",1,,1,1,,
"12Y08",,1,1,,,
