"bsn",Parkplatz für Schwerbehinderte vorhanden,Rollstuhlgerechter Aufzug,Rollstuhlgerechtes WC,Zugänglich für Rollstuhlbenutzer,Beratungsstelle für Hörbehinderte,Beratungsstelle für Sprachbehinderte
"06B02",,1,1,1,,
"06B02",,1,1,1,,
"06B02",,1,1,1,,
"06B02",,1,1,1,,
"06B02",,1,1,1,,
"06B03",1,1,1,1,,
"06B03",1,1,1,1,,
"06B03",1,1,1,1,,
"06B03",1,1,1,1,,
"06B04",1,1,1,1,,
"06B04",1,1,1,1,,
"06B04",1,1,1,1,,
"06B04",1,1,1,1,,
"06E01",,,,,,
"06E02",,,,,,
"06E05",,,,,,
"06E07",,,,,,
"06E08",1,,,,,
"06E13",,,,,,
"06E14",,,,,,
"06G01",1,1,1,1,,
"06G02",,,,,,
"06G03",,,,,,
"06G04",,,1,1,,
"06G05",,,1,1,,
"06G06",,1,,1,,1
"06G07",,1,1,1,,
"06G08",,,1,,,
"06G09",1,1,1,1,,
"06G10",,,1,1,,
"06G11",1,1,1,1,,
"06G12",,,1,1,,
"06G14",1,,1,1,,
"06G15",,,,,,
"06G16",,,,,,
"06G17",,,,,,
"06G18",1,1,1,1,,
"06G20",,,,,,
"06G21",,,,,,
"06G22",,,,,,
"06G23",,1,1,1,,
"06G24",,1,1,1,,
"06G25",,,,,,
"06G26",,,,,,
"06G27",,,,,,
"06G28",,,,,,
"06G29",,,1,1,,
"06G30",,,,,,
"06G31",,,1,1,,
"06G32",,,,,,
"06K01",,1,,,,
"06K02",,,1,,,
"06K03",1,,,,,
"06K04",1,1,1,1,,
"06K06",,,,,,
"06K08",,,,,,
"06K09",,,,,,
"06K10",,,,,,
"06P01",1,1,1,1,,
"06P02",,,,,,
"06P04",1,,1,1,,
"06P05",,,,1,,
"06P06",,,,,,
"06P06",,,,,,
"06P06",,,,,,
"06P07",,,,,,
"06P08",,,,,,
"06P08",,,,,,
"06P09",,,,,,
"06P10",,,,,,
"06P11",1,1,1,1,,
"06P12",1,,,,,
"06P13",,,,,,
"06P14",,1,1,,,
"06P14",,1,1,,,
"06P14",,1,1,,,
"06P15",,,,,,
"06P15",,,,,,
"06P15",,,,,,
"06P18",1,1,1,1,,
"06P18",1,1,1,1,,
"06P20",,,,,,
"06P20",,,,,,
"06P21",,,,,,
"06S01",,,1,,,
"06S01",,,1,,,
"06S02",1,,1,1,,
"06S02",1,,1,1,,
"06S03",,1,1,1,,
"06S04",,,,,,
"06S05",,,,,,
"06S05",,,,,,
"06S05",,,,,,
"06Y01",1,,,,,
"06Y02",1,1,1,1,,
"06Y03",1,,,1,,
"06Y04",,,,,,
"06Y05",,,,,,
"06Y06",,,1,1,,
"06Y07",,,,,,
"06Y08",,,,,,
"06Y09",,,,,,
"06Y10",,1,1,1,,
"06Y11",1,,,,,
"06Y12",,,,,,
"06Y13",,,,,,
"07A01",,,1,1,,
"07A02",,,1,1,,
"07A04",,,1,1,,
"07A05",1,,,,,
"07A06",1,1,1,1,,
"07B01",1,1,1,1,,
"07B01",1,1,1,1,,
"07B02",,,,,,
"07B02",,,,,,
"07B02",,,,,,
"07B02",,,,,,
"07B03",1,1,1,1,,
"07B03",1,1,1,1,,
"07B03",1,1,1,1,,
"07B03",1,1,1,1,,
"07B03",1,1,1,1,,
"07E01",,,,,,
"07E02",,,,,,
"07E05",,,,,,
"07E07",,,,,,
"07E08",,,,,,
"07E09",,,,,,
"07E11",,,,,,
"07E15",,,,,,
"07E16",,,,,,
"07E17",,,,,,
"07E18",,,,,,
"07E19",,,,,,
"07E20",,,,,,
"07E21",,,,,,
"07E24",,,,,,
"07E25",,,,,,
"07E26",,,,,,
"07G01",,1,1,1,,
"07G02",1,1,1,1,,
"07G03",,1,1,1,,
"07G05",1,1,1,1,,
"07G06",,,,,,
"07G07",1,,,,,
"07G10",,,,,,
"07G12",,,,,,
"07G13",,,,,,
"07G14",,,,,,
"07G15",1,1,1,1,,
"07G16",,,,,,
"07G17",1,,,,,
"07G18",1,1,1,1,,
"07G19",1,,,,,
"07G20",,,,,,
"07G21",1,,1,1,,
"07G22",,,,,,
"07G23",,,,,,
"07G24",,,,,,
"07G25",,,,,,
"07G26",,1,1,1,,
"07G27",,,,,,
"07G28",,,,1,,
"07G29",,,,,,
"07G30",,,,1,,
"07G31",,,1,,,
"07G32",,,,,,
"07G34",,1,1,1,,
"07G35",1,,,1,,
"07G36",,,,1,,
"07G37",,,,,,
"07K01",,1,1,1,,
"07K02",1,1,1,1,,
"07K03",1,1,1,1,,
"07K04",,,,,,
"07K05",1,1,,1,,
"07K06",,,,,,
"07K07",,,,,,
"07K07",,,,,,
"07K09",,,,,,
"07K10",,,,,,
"07K11",,,,,,
"07K12",,,,,,
"07K13",,,,,,
"07P01",,,,,,
"07P02",,,,,,
"07P02",,,,,,
"07P03",1,1,1,1,,
"07P03",1,1,1,1,,
"07P03",1,1,1,1,,
"07P04",,,,1,,
"07P05",,,,,,
"07P06",1,1,1,1,,
"07P07",,1,1,1,,
"07P10",,,,,,
"07P10",,,,,,
"07P11",,,,,,
"07P12",,,,,,
"07P13",,,,,,
