"bsn","district","address_id","latitude","longitude","street","plz","district_id"
"04E45","Charlottenburg-Wilmersdorf","368","52.50172","13.33054","Joachimstaler Str. 17","10719","13"
"04E46","Charlottenburg-Wilmersdorf","369","52.52349","13.308","Treseburger Str. 2","10589","13"
"04E47","Charlottenburg-Wilmersdorf","370","52.5119","13.30605","Bismarckstr. 42-43","10627","13"
"04E48","Charlottenburg-Wilmersdorf","371",,,"Wittelsbacherstr. 16","10707","13"
"04E50","Charlottenburg-Wilmersdorf","372","52.4934","13.32964","Trautenaustr. 5","10717","13"
"04E51","Charlottenburg-Wilmersdorf","373","52.50963","13.30602","Wilmersdorfer Str. 126/127","10627","13"
"04E52","Charlottenburg-Wilmersdorf","373","52.50963","13.30602","Wilmersdorfer Str. 126/127","10627","13"
"04G01","Charlottenburg-Wilmersdorf","374","52.50921","13.31305","Goethestr. 19","10625","13"
"04G02","Charlottenburg-Wilmersdorf","375","52.5094","13.29502","Witzlebenstr. 34","14057","13"
"04G04","Charlottenburg-Wilmersdorf","376","52.50357","13.32014","Bleibtreustr. 43","10623","13"
"04G05","Charlottenburg-Wilmersdorf","377","52.5212469","13.2611029","Spandauer Damm 205-215","14050","13"
"04G06","Charlottenburg-Wilmersdorf","378","52.50259","13.259","Waldschulallee 83-93","14055","13"
"04G07","Charlottenburg-Wilmersdorf","379","52.5150431","13.3151225","Cauerstr. 36-38","10587","13"
"04G08","Charlottenburg-Wilmersdorf","380","52.52631","13.30644","Mierendorffstr. 20-24","10589","13"
"04G09","Charlottenburg-Wilmersdorf","381","52.53967","13.2873","Halemweg 34","13627","13"
"04G11","Charlottenburg-Wilmersdorf","382","52.53903","13.30104","Heckerdamm 221","13627","13"
"04G12","Charlottenburg-Wilmersdorf","383","52.51782","13.29876","Nithackstr. 8","10585","13"
"04G13","Charlottenburg-Wilmersdorf","384","52.514893","13.2938654","Nehringstr. 9-10","14059","13"
"04G14","Charlottenburg-Wilmersdorf","385","52.513329","13.2683992","Leistikowstr. 7-8","14050","13"
"04G15","Charlottenburg-Wilmersdorf","386","52.5089456","13.2369711","Dickensweg 15","14055","13"
"04G17","Charlottenburg-Wilmersdorf","387","52.49541","13.31942","Emser Str. 50","10719","13"
"04G18","Charlottenburg-Wilmersdorf","388","52.4821277","13.335271","Babelsberger Str. 24-25","10715","13"
"04G19","Charlottenburg-Wilmersdorf","389","52.47113","13.31312","Rüdesheimer Str. 24-30","14197","13"
"04G20","Charlottenburg-Wilmersdorf","390","52.494","13.30619","Münstersche Str. 15-17","10709","13"
"04G22","Charlottenburg-Wilmersdorf","391","52.4845252","13.2810941","Delbrückstr. 20A","14193","13"
"04G23","Charlottenburg-Wilmersdorf","392","52.4770849","13.2934322","Reichenhaller Str. 8","14199","13"
"04G24","Charlottenburg-Wilmersdorf","393","52.47841","13.28709","Berkaer Str. 9-10","14199","13"
"04G25","Charlottenburg-Wilmersdorf","394","52.49331","13.32769","Nikolsburger Platz 5","10717","13"
"04G26","Charlottenburg-Wilmersdorf","395","52.4807258","13.3218928","Koblenzer Str. 22-24","10715","13"
"04G27","Charlottenburg-Wilmersdorf","396","52.475327","13.2950561","Friedrichshaller Str. 13","14199","13"
"04K02","Charlottenburg-Wilmersdorf","397","52.50908","13.32082","Goethestr. 8-9","10623","13"
"04K03","Charlottenburg-Wilmersdorf","398","52.49448","13.31872","Sächsische Str. 58","10707","13"
"04K04","Charlottenburg-Wilmersdorf","399","52.49373","13.3216","Pfalzburger Str. 23","10719","13"
"04K05","Charlottenburg-Wilmersdorf","400","52.50227","13.30194","Sybelstr. 20-21","10629","13"
"04K06","Charlottenburg-Wilmersdorf","401","52.5161","13.29812","Schloßstr. 55A","14059","13"
"04K07","Charlottenburg-Wilmersdorf","402","52.4926297","13.304921","Eisenzahnstr. 47-48","10709","13"
"04K08","Charlottenburg-Wilmersdorf","403","52.5052412","13.290548","Kuno-Fischer-Str. 22-26","14057","13"
"04P01","Charlottenburg-Wilmersdorf","404","52.5112258","13.2530212","Insterburgallee 8-10","14055","13"
