"bsn","languages"
"06G02","Englisch Französisch"
"06G03","Englisch"
"06G04","Englisch"
"06G05","Englisch"
"06G06","Englisch Französisch"
"06G07","Englisch Französisch"
"06G08","Englisch"
"06G09",""
"06G10",""
"06G11","Englisch Französisch"
"06G12","Englisch Französisch"
"06G14","Englisch"
"06G15","Englisch Französisch"
"06G16","Englisch"
"06G17","Englisch Französisch"
"06G18","Englisch"
"06G20","Englisch Französisch"
"06G21","Englisch"
"06G22","Englisch"
"06G23","Englisch Französisch"
"06G24","Englisch"
"06G25","Englisch Französisch"
"06G26","Englisch"
"06G27","Englisch"
"06G28","Englisch"
"06G29",""
"06G30","Englisch"
"06G31","Englisch"
"06G32","Englisch"
"06K01","Englisch Französisch Spanisch Latein"
"06K02","Englisch Französisch Spanisch"
"06K03","Englisch Französisch Spanisch Latein Russisch"
"06K04","Englisch Französisch Latein"
"06K06","Englisch Französisch"
"06K08","Englisch Französisch"
"06K09","Englisch Französisch Niederländisch"
"06K10","Englisch Französisch Spanisch"
"06P01","Englisch"
"06P02",""
"06P04","Englisch Französisch Russisch"
"06P05","Französisch"
"06P06","Englisch"
"06P06","Englisch Französisch Spanisch Latein"
"06P06","Englisch Französisch Spanisch"
"06P07",""
"06P08","Englisch"
"06P08",""
"06P09","Englisch"
"06P10","Englisch"
"06P11","Englisch Französisch Spanisch"
"06P12","Englisch Französisch"
"06P13","Englisch Spanisch"
"06P14","Englisch Französisch"
"06P14","Englisch"
"06P14",""
"06P15","Englisch"
"06P15","Englisch"
"06P15","Englisch"
"06P18","Englisch"
"06P18","Englisch Französisch Spanisch"
"06P20","Englisch Spanisch"
"06P20","Englisch Spanisch"
"06P21","Englisch"
"06S01",""
"06S01",""
"06S02","Englisch"
"06S02","Englisch"
"06S03",""
"06S04","Englisch"
"06S05","Englisch Französisch"
"06S05",""
"06S05","Englisch"
"06Y01","Englisch Französisch Latein"
"06Y02","Englisch Französisch Latein"
"06Y03","Englisch Latein Altgriechisch"
"06Y04","Englisch Französisch Spanisch Latein"
"06Y05","Englisch Französisch Spanisch Latein Russisch Chinesisch"
"06Y06","Englisch Französisch Spanisch Latein"
"06Y07","Englisch Französisch Spanisch Latein"
"06Y08","Englisch Französisch Latein Russisch Italienisch"
"06Y09","Englisch Französisch Spanisch Latein"
"06Y10","Englisch Französisch Latein Italienisch"
"06Y11","Englisch Französisch Spanisch Latein"
"06Y12","Englisch Französisch Spanisch Latein"
"06Y13","Englisch Latein Altgriechisch"
"07A01",""
"07A02",""
"07A04",""
"07A05","Englisch Französisch Spanisch"
"07A06",""
"07B01","Englisch Französisch Spanisch"
"07B01","Englisch Französisch Spanisch"
"07B02","Englisch"
"07B02","Englisch"
"07B02","Englisch"
"07B02",""
"07B03","Englisch"
"07B03","Englisch"
"07B03","Englisch"
"07B03","Englisch Französisch Spanisch"
"07B03","Englisch"
"07E01",""
"07E02",""
"07E05",""
"07E07",""
"07E08",""
"07E09",""
"07E11",""
"07E15",""
"07E16",""
"07E17",""
"07E18",""
"07E19",""
"07E20",""
"07E21",""
"07E24",""
"07E25",""
"07E26",""
"07G01","Englisch"
"07G02","Englisch"
"07G03","Englisch"
"07G05","Englisch"
"07G06","Französisch"
"07G07","Englisch"
"07G10","Englisch"
"07G12","Englisch Französisch"
"07G13","Englisch"
"07G14",""
"07G15","Englisch Französisch"
"07G16",""
"07G17","Englisch Französisch"
"07G18","Englisch Französisch"
"07G19","Englisch"
"07G20","Englisch"
"07G21","Englisch"
"07G22","Englisch Französisch"
"07G23","Englisch"
"07G24","Englisch"
"07G25","Englisch"
"07G26","Englisch"
"07G27","Englisch"
"07G28","Englisch"
"07G29","Englisch"
"07G30","Englisch"
"07G31",""
"07G32","Englisch"
"07G34","Französisch"
"07G35","Englisch"
"07G36","Englisch Französisch"
"07G37","Englisch"
"07K01","Englisch Französisch Spanisch Latein"
"07K02","Englisch Französisch Spanisch Latein"
"07K03","Englisch Französisch Latein Japanisch"
"07K04","Englisch Französisch"
"07K05","Englisch Französisch Spanisch"
"07K06","Englisch Französisch Spanisch"
"07K07","Englisch Französisch"
"07K07",""
"07K09","Englisch Französisch"
"07K10","Englisch Französisch"
"07K11","Englisch Französisch"
"07K12","Englisch Französisch"
"07K13",""
"07P01","Englisch Französisch Spanisch Latein"
"07P02","Englisch"
"07P02",""
"07P03","Englisch"
"07P03","Englisch"
"07P03","Englisch"
"07P04","Englisch"
"07P05","Englisch"
"07P06","Englisch"
"07P07",""
"07P10","Englisch"
"07P10","Englisch"
"07P11","Englisch Französisch Spanisch"
"07P12",""
"07P13","Englisch Spanisch"
"07S01","Englisch"
"07S03",""
"07S04",""
"07Y01","Englisch Französisch Spanisch Latein"
"07Y02","Englisch Französisch Latein"
"07Y03","Englisch Französisch Spanisch Latein"
"07Y04","Englisch Französisch Latein Italienisch"
"07Y05","Englisch Französisch Spanisch Latein"
"07Y06","Englisch Französisch Spanisch Latein Chinesisch"
"07Y07","Englisch Französisch Latein"
"07Y08","Englisch Französisch Latein Italienisch"
"07Y09","Englisch Französisch Latein"
"08A01",""
"08A02",""
"08A04",""
"08A05",""
"08B01","Englisch"
"08B02","Englisch"
"08B02","Englisch"
"08B02","Englisch"
"08B02",""
"08B02","Englisch Französisch Latein"
"08B02","Englisch Französisch"
"08B04","Englisch Spanisch"
"08B04","Englisch Russisch"
"08B04","Englisch"
"08B04","Englisch"
"08B04","Englisch Spanisch"
"08B04","Englisch"
"08B05","Englisch"
"08B05","Englisch"
"08E02",""
"08E04",""
"08G01","Englisch"
"08G02","Englisch"
"08G03","Englisch"
"08G05","Englisch"
"08G06","Englisch"
"08G07","Englisch"
"08G08","Englisch"
"08G09","Englisch Französisch"
"08G10",""
"08G11","Englisch"
"08G12","Englisch"
"08G13","Englisch Französisch"
"08G14","Englisch"
"08G15","Englisch"
"08G16","Englisch"
"08G17","Englisch"
"08G18","Englisch"
"08G19","Englisch"
"08G20","Englisch"
"08G21","Englisch"
"08G22","Englisch"
"08G23","Englisch"
"08G24","Englisch"
"08G25","Englisch"
"08G26","Englisch"
"08G27","Englisch"
"08G28","Englisch"
"08G29","Englisch"
"08G30","Englisch"
"08G31","Englisch"
"08G32","Englisch"
"08G33","Englisch"
"08G34","Englisch Französisch"
"08G35","Englisch"
"08G36","Englisch"
"08G37","Englisch"
"08K01","Englisch Französisch Latein"
"08K02","Englisch Französisch"
"08K03","Englisch Französisch Türkisch Latein"
"08K04","Englisch Französisch"
"08K05","Englisch Französisch"
"08K06","Englisch Französisch Spanisch"
"08K07","Englisch Französisch Spanisch"
"08K08","Englisch Französisch"
"08K09","Englisch Französisch"
"08K10","Englisch Französisch Türkisch"
"08K10",""
"08K11","Englisch Französisch"
"08K12","Englisch Französisch"
"08P01","Englisch Französisch"
"08P02","Englisch"
"08P03","Englisch Französisch Spanisch"
"08P04","Englisch Französisch Spanisch Latein Polnisch"
"08P04","Englisch Spanisch"
"08P06","Englisch"
"08P08",""
"08P09","Englisch Französisch"
"08P10",""
"08P12",""
"08S01","Englisch"
"08S03","Englisch"
"08S04","Englisch"
"08S05","Englisch"
"08S06","Englisch"
"08S07",""
"08S08","Englisch"
"08S09","Englisch"
"08Y01","Englisch Französisch Latein Polnisch"
"08Y02","Englisch Französisch Spanisch"
"08Y03","Englisch Französisch Latein Italienisch"
"08Y04","Englisch Französisch Latein"
"08Y05","Englisch Französisch Latein Chinesisch"
"08Y06","Englisch Französisch Spanisch Latein"
"09A01",""
"09A02",""
"09A03",""
"09A04",""
"09A05","Englisch Spanisch Latein Russisch"
"09A06",""
"09A07","Englisch Französisch"
"09B03","Englisch"
"09B03","Englisch"
"09B03","Englisch"
"09B03","Englisch Französisch Spanisch Latein Russisch"
"09B03","Englisch Französisch"
"09E01",""
"09E05",""
"09E06",""
"09E07",""
"09G01","Englisch Französisch"
"09G03","Englisch"
"09G04","Englisch"
"09G05","Englisch"
"09G06","Englisch"
"09G07","Englisch"
"09G09","Englisch"
"09G10","Englisch"
"09G11","Englisch"
"09G13","Englisch"
"09G14","Englisch"
"09G15","Englisch"
"09G16","Englisch"
"09G17","Englisch"
"09G18","Englisch"
"09G19","Englisch"
"09G20","Englisch"
"09G21","Englisch"
"09G22","Englisch"
"09G23","Englisch"
"09G24","Englisch"
"09G25",""
"09G26","Englisch"
"09G27","Englisch"
"09G29","Englisch"
"09K01","Englisch Französisch Russisch"
"09K02","Englisch Französisch Latein Russisch"
"09K03","Englisch Französisch Spanisch"
"09K04","Englisch Französisch"
"09K05","Englisch Französisch"
"09K06","Englisch Französisch"
