bsn,Jahrgangsstufe,Klassenart,K,S,SM,SW,N,NM,NW,H,HM,HW
01G18,Jahrgangsstufe 03,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,1,8,2,6,8,2,6,8,2,6
01G18,Jahrgangsstufe 03,Regelklasse,3,58,23,35,14,7,7,46,18,28
01G18,Jahrgangsstufe 04,Regelklasse,3,62,28,34,13,7,6,51,23,28
01G18,Jahrgangsstufe 04,Sonderpädagogische Kleinklasse,1,10,8,2,5,4,1,8,7,1
01G18,Jahrgangsstufe 05,Regelklasse,3,51,21,30,13,5,8,46,18,28
01G18,Jahrgangsstufe 06,Regelklasse,3,63,33,30,31,15,16,58,31,27
01G18,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,2,45,24,21,11,5,6,36,19,17
01G18,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,4,92,45,47,29,16,13,84,39,45
01G19,Jahrgangsstufe 03,Regelklasse,2,44,16,28,12,6,6,26,9,17
01G19,Jahrgangsstufe 04,Regelklasse,2,50,19,31,8,4,4,33,13,20
01G19,Jahrgangsstufe 05,Regelklasse,2,42,24,18,6,2,4,20,11,9
01G19,Jahrgangsstufe 06,Regelklasse,2,46,20,26,6,2,4,31,13,18
01G19,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,6,147,82,65,7,6,1,83,45,38
01G24,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,5,125,69,56,22,15,7,89,49,40
01G24,Jahrgangsstufe 03,Regelklasse,2,47,24,23,7,5,2,39,21,18
01G24,Jahrgangsstufe 04,Regelklasse,3,61,30,31,7,6,1,40,23,17
01G24,Jahrgangsstufe 05,Regelklasse,3,65,38,27,8,6,2,44,26,18
01G24,Jahrgangsstufe 06,Regelklasse,3,66,34,32,16,7,9,45,20,25
01G24,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,3,62,32,30,12,7,5,45,22,23
01G24,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,2,43,22,21,7,2,5,36,19,17
01G25,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,2,49,31,18,7,4,3,37,23,14
01G25,Jahrgangsstufe 03,Regelklasse,2,41,20,21,13,7,6,38,18,20
01G25,Jahrgangsstufe 04,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,1,13,8,5,13,8,5,13,8,5
01G25,Jahrgangsstufe 04,Regelklasse,3,52,26,26,12,7,5,49,25,24
01G25,Jahrgangsstufe 05,Regelklasse,2,41,22,19,11,4,7,38,21,17
01G25,Jahrgangsstufe 06,Jahrgangsübergreifende Lerngruppe,2,50,26,24,12,6,6,45,22,23
01G25,Jahrgangsstufe 06,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,1,12,6,6,12,6,6,12,6,6
01G25,Jahrgangsstufe 06,Regelklasse,3,64,35,29,13,10,3,54,31,23
01G25,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,6,146,84,62,31,23,8,125,72,53
01G27,Jahrgangsstufe 03,Regelklasse,3,73,33,40,9,4,5,70,32,38
01G27,Jahrgangsstufe 04,Regelklasse,3,71,32,39,4,2,2,64,29,35
01G27,Jahrgangsstufe 05,Regelklasse,3,60,36,24,8,8,0,55,34,21
01G27,Jahrgangsstufe 06,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,2,17,14,3,17,14,3,17,14,3
01G27,Jahrgangsstufe 06,Regelklasse,3,69,37,32,15,8,7,63,33,30
01G27,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,10,216,93,123,42,21,21,203,88,115
01G28,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,12,243,130,113,111,64,47,197,109,88
01G28,Jahrgangsstufe 05,Regelklasse,1,21,9,12,4,2,2,18,7,11
01G28,Jahrgangsstufe 06,Jahrgangsübergreifende Lerngruppe,9,185,89,96,59,33,26,158,79,79
01G29,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,10,255,111,144,45,14,31,240,102,138
01G29,Jahrgangsstufe 04,Regelklasse,1,23,11,12,6,3,3,23,11,12
01G29,Jahrgangsstufe 05,Regelklasse,1,23,9,14,9,2,7,22,8,14
01G29,Jahrgangsstufe 06,Jahrgangsübergreifende Lerngruppe,6,139,62,77,27,12,15,128,54,74
01G29,Jahrgangsstufe 06,Regelklasse,1,22,10,12,9,2,7,22,10,12
01G31,Jahrgangsstufe 03,Regelklasse,3,62,32,30,20,11,9,59,31,28
01G31,Jahrgangsstufe 03,Sonderpädagogische Kleinklasse,1,11,11,0,0,0,0,8,8,0
01G31,Jahrgangsstufe 04,Regelklasse,3,71,36,35,31,17,14,69,34,35
01G31,Jahrgangsstufe 05,Regelklasse,3,68,33,35,17,8,9,67,33,34
01G31,Jahrgangsstufe 06,Regelklasse,3,66,35,31,28,16,12,63,33,30
01G31,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,8,164,75,89,63,31,32,157,73,84
01G32,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,8,194,103,91,55,32,23,160,79,81
01G32,Jahrgangsstufe 04,Regelklasse,3,54,28,26,17,10,7,46,25,21
01G32,Jahrgangsstufe 05,Regelklasse,3,57,31,26,15,9,6,48,27,21
01G32,Jahrgangsstufe 06,Regelklasse,3,57,28,29,17,10,7,45,23,22
01G35,Jahrgangsstufe 03,Regelklasse,3,52,27,25,25,17,8,47,23,24
01G35,Jahrgangsstufe 04,Regelklasse,3,66,34,32,22,11,11,56,30,26
01G35,Jahrgangsstufe 05,Regelklasse,3,58,31,27,24,14,10,52,28,24
01G35,Jahrgangsstufe 06,Regelklasse,3,60,33,27,24,17,7,53,28,25
01G35,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,6,147,71,76,33,14,19,139,68,71
01G36,Jahrgangsstufe 03,Regelklasse,3,64,26,38,13,5,8,56,23,33
01G36,Jahrgangsstufe 04,Regelklasse,3,57,31,26,11,7,4,52,27,25
01G36,Jahrgangsstufe 05,Regelklasse,3,56,22,34,12,3,9,46,19,27
01G36,Jahrgangsstufe 06,Regelklasse,3,63,32,31,16,7,9,56,29,27
01G36,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,1,23,13,10,5,3,2,21,12,9
01G36,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,6,141,68,73,30,13,17,131,64,67
01G37,Jahrgangsstufe 03,Regelklasse,4,85,51,34,17,8,9,79,49,30
01G37,Jahrgangsstufe 04,Regelklasse,3,74,42,32,17,11,6,73,41,32
01G37,Jahrgangsstufe 05,Regelklasse,4,84,39,45,11,6,5,78,36,42
01G37,Jahrgangsstufe 06,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,1,10,6,4,10,6,4,10,6,4
01G37,Jahrgangsstufe 06,Regelklasse,3,60,28,32,13,7,6,57,25,32
01G37,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,8,191,95,96,31,9,22,184,91,93
01G38,Jahrgangsstufe 03,Regelklasse,3,73,32,41,10,6,4,60,23,37
01G38,Jahrgangsstufe 04,Regelklasse,2,55,27,28,5,2,3,54,26,28
01G38,Jahrgangsstufe 05,Regelklasse,2,37,22,15,6,4,2,36,21,15
01G38,Jahrgangsstufe 06,Regelklasse,2,46,24,22,8,4,4,40,19,21
01G38,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,7,171,85,86,13,3,10,141,72,69
01G39,Jahrgangsstufe 03,Regelklasse,3,72,32,40,17,6,11,67,30,37
01G39,Jahrgangsstufe 04,Regelklasse,3,56,28,28,10,7,3,50,25,25
01G39,Jahrgangsstufe 05,Regelklasse,3,58,34,24,5,4,1,55,32,23
01G39,Jahrgangsstufe 06,Regelklasse,3,62,28,34,10,6,4,57,27,30
01G39,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,1,22,9,13,0,0,0,17,7,10
01G39,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,7,143,72,71,23,13,10,129,63,66
01G40,Jahrgangsstufe 03,Regelklasse,3,67,38,29,9,6,3,49,29,20
01G40,Jahrgangsstufe 04,Regelklasse,3,67,39,28,9,5,4,45,26,19
01G40,Jahrgangsstufe 05,Regelklasse,4,81,47,34,3,3,0,49,30,19
01G40,Jahrgangsstufe 06,Regelklasse,4,91,34,57,14,5,9,55,21,34
01G40,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,6,151,76,75,13,7,6,97,45,52
01G41,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,12,310,139,171,37,21,16,244,112,132
01G41,Jahrgangsstufe 03,Regelklasse,1,22,15,7,7,5,2,20,13,7
01G41,Jahrgangsstufe 04,Regelklasse,4,86,53,33,21,13,8,76,47,29
01G41,Jahrgangsstufe 05,Regelklasse,5,109,43,66,37,16,21,93,39,54
01G41,Jahrgangsstufe 06,Regelklasse,4,84,42,42,20,13,7,70,35,35
01G42,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,6,142,73,69,21,12,9,111,60,51
01G42,Jahrgangsstufe 03,Regelklasse,4,82,45,37,10,6,4,59,31,28
01G42,Jahrgangsstufe 04,Regelklasse,4,97,45,52,15,8,7,53,24,29
01G42,Jahrgangsstufe 05,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,1,10,5,5,10,5,5,10,5,5
