bsn,Jahrgangsstufe,Klassenart,K,S,SM,SW,N,NM,NW,H,HM,HW
07G16,Jahrgangsstufe 05,Regelklasse,2,50,19,31,3,2,1,18,7,11
07G16,Jahrgangsstufe 06,Regelklasse,2,50,17,33,3,1,2,13,4,9
07G16,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,8,202,108,94,4,3,1,72,48,24
07G17,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,9,235,123,112,4,4,0,15,8,7
07G17,Jahrgangsstufe 04,Regelklasse,3,81,33,48,1,0,1,11,6,5
07G17,Jahrgangsstufe 05,Regelklasse,3,82,46,36,3,1,2,10,6,4
07G17,Jahrgangsstufe 06,Regelklasse,3,76,39,37,1,1,0,9,5,4
07G18,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,6,144,77,67,6,5,1,60,32,28
07G18,Jahrgangsstufe 04,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,1,12,6,6,12,6,6,12,6,6
07G18,Jahrgangsstufe 04,Regelklasse,2,48,28,20,3,1,2,19,8,11
07G18,Jahrgangsstufe 05,Regelklasse,2,48,22,26,3,0,3,19,9,10
07G18,Jahrgangsstufe 06,Regelklasse,2,48,27,21,4,3,1,21,13,8
07G19,Jahrgangsstufe 03,Regelklasse,3,64,22,42,6,2,4,44,13,31
07G19,Jahrgangsstufe 04,Regelklasse,3,64,31,33,9,5,4,45,20,25
07G19,Jahrgangsstufe 05,Regelklasse,3,57,29,28,8,2,6,39,18,21
07G19,Jahrgangsstufe 06,Regelklasse,3,56,28,28,11,5,6,39,19,20
07G19,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,2,40,23,17,7,5,2,30,18,12
07G19,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,5,119,63,56,14,8,6,70,39,31
07G20,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,10,241,136,105,26,12,14,139,82,57
07G20,Jahrgangsstufe 04,Regelklasse,3,80,35,45,12,5,7,45,17,28
07G20,Jahrgangsstufe 05,Regelklasse,3,69,29,40,12,6,6,33,15,18
07G20,Jahrgangsstufe 06,Regelklasse,3,75,41,34,9,5,4,33,18,15
07G21,Jahrgangsstufe 03,Regelklasse,3,79,33,46,11,3,8,27,10,17
07G21,Jahrgangsstufe 04,Regelklasse,3,75,33,42,9,4,5,24,10,14
07G21,Jahrgangsstufe 05,Regelklasse,3,69,36,33,11,6,5,24,14,10
07G21,Jahrgangsstufe 06,Regelklasse,3,69,38,31,7,5,2,28,16,12
07G21,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,1,23,11,12,2,0,2,7,5,2
07G21,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,6,140,75,65,8,4,4,54,34,20
07G22,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,11,274,132,142,3,2,1,127,66,61
07G22,Jahrgangsstufe 04,Regelklasse,3,81,40,41,4,1,3,42,20,22
07G22,Jahrgangsstufe 05,Regelklasse,4,89,45,44,5,2,3,45,23,22
07G22,Jahrgangsstufe 06,Regelklasse,3,76,35,41,6,3,3,24,10,14
07G22,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,1,18,9,9,0,0,0,8,3,5
07G23,Jahrgangsstufe 03,Regelklasse,2,46,23,23,4,2,2,18,10,8
07G23,Jahrgangsstufe 04,Regelklasse,2,31,18,13,2,1,1,15,9,6
07G23,Jahrgangsstufe 05,Regelklasse,2,47,21,26,2,0,2,22,10,12
07G23,Jahrgangsstufe 06,Regelklasse,2,48,23,25,4,2,2,22,12,10
07G23,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,4,93,41,52,6,0,6,36,14,22
07G24,Jahrgangsstufe 03,Regelklasse,2,40,24,16,2,1,1,24,13,11
07G24,Jahrgangsstufe 04,Regelklasse,2,46,22,24,1,1,0,30,16,14
07G24,Jahrgangsstufe 05,Regelklasse,2,39,26,13,2,2,0,20,12,8
07G24,Jahrgangsstufe 06,Regelklasse,2,40,26,14,3,3,0,24,14,10
07G24,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,1,18,7,11,2,1,1,11,4,7
07G24,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,3,54,23,31,3,2,1,36,15,21
07G25,Jahrgangsstufe 03,Regelklasse,3,60,35,25,9,5,4,41,22,19
07G25,Jahrgangsstufe 04,Regelklasse,2,51,28,23,4,2,2,30,18,12
07G25,Jahrgangsstufe 05,Regelklasse,3,69,32,37,9,4,5,47,23,24
07G25,Jahrgangsstufe 06,Regelklasse,3,60,29,31,7,2,5,36,15,21
07G25,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,1,21,9,12,5,2,3,15,6,9
07G25,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,5,105,54,51,15,7,8,80,41,39
07G26,Jahrgangsstufe 03,Regelklasse,3,61,35,26,1,1,0,11,5,6
07G26,Jahrgangsstufe 04,Regelklasse,2,43,27,16,0,0,0,8,4,4
07G26,Jahrgangsstufe 05,Regelklasse,2,49,27,22,1,0,1,17,10,7
07G26,Jahrgangsstufe 06,Regelklasse,2,46,32,14,1,1,0,16,12,4
07G26,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,4,104,55,49,7,6,1,18,9,9
07G27,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,6,139,75,64,18,9,9,83,49,34
07G27,Jahrgangsstufe 03,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,1,12,4,8,12,4,8,12,4,8
07G27,Jahrgangsstufe 03,Regelklasse,1,18,10,8,3,1,2,14,8,6
07G27,Jahrgangsstufe 04,Regelklasse,2,49,17,32,10,5,5,25,10,15
07G27,Jahrgangsstufe 05,Regelklasse,2,45,21,24,2,0,2,25,10,15
07G27,Jahrgangsstufe 06,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,1,12,8,4,12,8,4,12,8,4
07G27,Jahrgangsstufe 06,Regelklasse,2,36,13,23,4,1,3,17,7,10
07G28,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,3,71,34,37,14,4,10,27,8,19
07G28,Jahrgangsstufe 03,Regelklasse,1,26,15,11,7,3,4,15,9,6
07G28,Jahrgangsstufe 04,Regelklasse,3,82,45,37,9,4,5,21,14,7
07G28,Jahrgangsstufe 05,Regelklasse,3,65,38,27,13,8,5,28,16,12
07G28,Jahrgangsstufe 06,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,3,36,19,17,36,19,17,36,19,17
07G28,Jahrgangsstufe 06,Regelklasse,2,56,27,29,11,7,4,23,14,9
07G28,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,4,99,51,48,15,7,8,34,16,18
07G28,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,1,22,13,9,22,13,9,22,13,9
07G29,Jahrgangsstufe 03,Regelklasse,4,96,52,44,1,1,0,24,15,9
07G29,Jahrgangsstufe 04,Regelklasse,4,97,57,40,2,1,1,23,14,9
07G29,Jahrgangsstufe 05,Regelklasse,3,78,39,39,0,0,0,10,8,2
07G29,Jahrgangsstufe 06,Regelklasse,3,84,46,38,1,1,0,11,5,6
07G29,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,8,190,98,92,3,1,2,52,25,27
07G30,Jahrgangsstufe 03,Regelklasse,3,56,33,23,4,1,3,22,12,10
07G30,Jahrgangsstufe 03,Sonderpädagogische Kleinklasse,1,5,3,2,0,0,0,3,3,0
07G30,Jahrgangsstufe 04,Regelklasse,3,71,35,36,10,4,6,28,15,13
07G30,Jahrgangsstufe 04,Sonderpädagogische Kleinklasse,1,7,7,0,0,0,0,3,3,0
07G30,Jahrgangsstufe 05,Regelklasse,3,60,25,35,4,0,4,15,6,9
07G30,Jahrgangsstufe 06,Regelklasse,4,89,48,41,10,6,4,25,11,14
07G30,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,5,105,53,52,11,4,7,40,20,20
07G30,Schulanfangsphase,Sonderpädagogische Kleinklasse,1,5,5,0,0,0,0,2,2,0
07G31,Jahrgangsstufe 03,Regelklasse,3,76,37,39,9,6,3,16,9,7
07G31,Jahrgangsstufe 04,Regelklasse,3,63,31,32,21,11,10,21,11,10
07G31,Jahrgangsstufe 05,Regelklasse,3,64,29,35,15,9,6,15,9,6
07G31,Jahrgangsstufe 06,Regelklasse,3,58,33,25,16,9,7,16,9,7
07G31,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,6,136,72,64,23,7,16,29,10,19
07G32,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,8,178,84,94,6,2,4,35,18,17
07G32,Jahrgangsstufe 04,Regelklasse,3,76,30,46,0,0,0,8,4,4
07G32,Jahrgangsstufe 05,Regelklasse,3,79,37,42,0,0,0,19,8,11
07G32,Jahrgangsstufe 06,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,2,15,5,10,12,5,7,15,5,10
07G32,Jahrgangsstufe 06,Regelklasse,3,72,30,42,0,0,0,10,5,5
07G34,Jahrgangsstufe 03,Regelklasse,4,85,41,44,3,2,1,35,18,17
07G34,Jahrgangsstufe 04,Regelklasse,3,70,41,29,4,3,1,13,8,5
07G34,Jahrgangsstufe 05,Regelklasse,3,58,29,29,4,3,1,25,17,8
07G34,Jahrgangsstufe 06,Regelklasse,3,74,43,31,9,3,6,30,18,12
07G34,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,4,90,50,40,7,6,1,31,15,16
07G34,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,5,96,45,51,0,0,0,31,16,15
07G34,Schulanfangsphase,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,2,21,13,8,19,11,8,21,13,8
07G35,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,9,201,101,100,17,6,11,95,45,50
07G35,Jahrgangsstufe 04,Regelklasse,2,51,38,13,4,4,0,21,15,6
07G35,Jahrgangsstufe 04,Sonderpädagogische Kleinklasse,1,5,5,0,0,0,0,2,2,0
07G35,Jahrgangsstufe 05,Regelklasse,3,71,31,40,6,3,3,37,18,19
07G35,Jahrgangsstufe 06,Regelklasse,3,73,37,36,7,4,3,32,19,13
07G35,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,1,21,10,11,1,1,0,8,5,3
07G35,Schulanfangsphase,Sonderpädagogische Kleinklasse,5,45,33,12,3,1,2,23,19,4
07G36,Jahrgangsstufe 03,Regelklasse,3,73,46,27,1,1,0,30,20,10
07G36,Jahrgangsstufe 04,Regelklasse,3,66,27,39,6,3,3,29,6,23
07G36,Jahrgangsstufe 05,Regelklasse,3,69,39,30,1,1,0,30,19,11
07G36,Jahrgangsstufe 06,Regelklasse,3,77,37,40,4,4,0,31,16,15
07G36,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,7,162,79,83,6,5,1,65,36,29
07G37,Jahrgangsstufe 03,Regelklasse,3,70,39,31,0,0,0,44,22,22
07G37,Jahrgangsstufe 04,Regelklasse,3,78,42,36,0,0,0,37,18,19
07G37,Jahrgangsstufe 05,Regelklasse,3,80,42,38,0,0,0,38,21,17
07G37,Jahrgangsstufe 06,Regelklasse,3,83,46,37,0,0,0,35,20,15
07G37,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,1,20,12,8,0,0,0,9,5,4
07G37,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,6,133,69,64,0,0,0,60,32,28
07K01,1. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,139,66,73,38,16,22,36,15,21
07K01,3. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,114,41,73,13,5,8,15,6,9
07K01,E-Phase,Klasse der Staatlichen Europaschule,2,44,21,23,1,1,0,3,1,2
07K01,E-Phase,Regelklasse,4,91,43,48,9,5,4,6,5,1
07K01,Jahrgangsstufe 07,Klasse der Staatlichen Europaschule,2,47,21,26,13,6,7,25,13,12
07K01,Jahrgangsstufe 07,Regelklasse,4,102,48,54,2,1,1,20,17,3
07K01,Jahrgangsstufe 08,Klasse der Staatlichen Europaschule,2,54,22,32,11,6,5,20,6,14
07K01,Jahrgangsstufe 08,Regelklasse,7,182,95,87,8,6,2,14,9,5
07K01,Jahrgangsstufe 09,Klasse der Staatlichen Europaschule,2,51,24,27,12,5,7,17,8,9
07K01,Jahrgangsstufe 09,Regelklasse,6,159,76,83,13,5,8,25,10,15
07K01,Jahrgangsstufe 10,Klasse der Staatlichen Europaschule,2,54,20,34,12,4,8,10,4,6
07K01,Jahrgangsstufe 10,Regelklasse,6,170,74,96,11,4,7,12,7,5
07K02,1. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,106,42,64,5,3,2,24,14,10
07K02,3. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,111,51,60,10,5,5,27,14,13
07K02,E-Phase,Regelklasse,3,98,35,63,6,3,3,26,9,17
07K02,Jahrgangsstufe 07,Regelklasse,7,183,91,92,9,3,6,44,18,26
07K02,Jahrgangsstufe 08,Regelklasse,7,179,89,90,10,7,3,16,10,6
07K02,Jahrgangsstufe 09,Regelklasse,7,185,99,86,12,4,8,35,17,18
07K02,Jahrgangsstufe 10,Regelklasse,6,176,96,80,14,9,5,34,20,14
07K03,1. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,145,64,81,4,4,0,11,7,4
07K03,3. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,137,66,71,7,4,3,10,5,5
07K03,E-Phase,Regelklasse,4,114,43,71,1,0,1,2,0,2
07K03,Jahrgangsstufe 05,Regelklasse,1,32,14,18,1,1,0,1,1,0
07K03,Jahrgangsstufe 06,Regelklasse,1,20,12,8,0,0,0,0,0,0
07K03,Jahrgangsstufe 07,Regelklasse,8,210,114,96,12,7,5,31,17,14
07K03,Jahrgangsstufe 08,Regelklasse,8,239,109,130,15,10,5,18,13,5
07K03,Jahrgangsstufe 09,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,1,13,7,6,12,7,5,13,7,6
07K03,Jahrgangsstufe 09,Regelklasse,8,225,102,123,10,5,5,18,8,10
07K03,Jahrgangsstufe 10,Regelklasse,8,248,123,125,16,9,7,23,11,12
07K04,Jahrgangsstufe 07,Regelklasse,5,125,82,43,22,16,6,36,24,12
07K04,Jahrgangsstufe 08,Regelklasse,10,235,130,105,50,30,20,129,70,59
07K04,Jahrgangsstufe 09,Praxislerngruppe,2,35,23,12,9,4,5,16,8,8
07K04,Jahrgangsstufe 09,Regelklasse,5,122,73,49,16,10,6,42,25,17
07K04,Jahrgangsstufe 10,Regelklasse,1,19,15,4,1,0,1,9,7,2
07K04,Jahrgangsstufe 10,Regelklasse,2,57,25,32,14,5,9,27,9,18
07K05,Jahrgangsstufe 07,Regelklasse,5,127,65,62,7,4,3,25,15,10
07K05,Jahrgangsstufe 08,Regelklasse,6,148,81,67,15,10,5,39,23,16
07K05,Jahrgangsstufe 09,Praxislerngruppe,1,13,10,3,2,1,1,3,2,1
07K05,Jahrgangsstufe 09,Regelklasse,6,148,82,66,19,10,9,31,18,13
07K05,Jahrgangsstufe 10,Praxisklasse,1,16,11,5,1,1,0,3,2,1
07K05,Jahrgangsstufe 10,Regelklasse,4,100,56,44,3,2,1,20,9,11
07K05,Jahrgangsstufe 10,Regelklasse,2,39,18,21,3,2,1,18,10,8
07K06,Jahrgangsstufe 07,Klasse der Staatlichen Europaschule,2,31,12,19,15,7,8,17,8,9
07K06,Jahrgangsstufe 07,Regelklasse,3,79,33,46,13,7,6,42,17,25
07K06,Jahrgangsstufe 08,Klasse der Staatlichen Europaschule,2,44,23,21,23,15,8,23,15,8
07K06,Jahrgangsstufe 08,Regelklasse,4,104,55,49,25,16,9,57,35,22
07K06,Jahrgangsstufe 09,Regelklasse,5,124,53,71,46,20,26,79,32,47
07K06,Jahrgangsstufe 10,Regelklasse,4,113,54,59,31,11,20,62,24,38
07K07,Jahrgangsstufe 07,Regelklasse,4,89,50,39,11,6,5,47,29,18
07K07,Jahrgangsstufe 08,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,4,48,31,17,44,29,15,48,31,17
07K07,Jahrgangsstufe 08,Regelklasse,6,142,80,62,26,16,10,78,51,27
07K07,Jahrgangsstufe 09,Regelklasse,5,119,58,61,37,15,22,85,42,43
07K07,Jahrgangsstufe 10,Regelklasse,4,72,45,27,30,21,9,47,31,16
07K07,Jahrgangsstufe 10,Regelklasse,4,109,64,45,26,12,14,69,41,28
07K09,Jahrgangsstufe 07,Regelklasse,4,81,40,41,21,11,10,69,31,38
07K09,Jahrgangsstufe 08,Regelklasse,5,102,57,45,47,30,17,81,48,33
07K09,Jahrgangsstufe 09,Regelklasse,5,108,63,45,46,27,19,94,54,40
07K09,Jahrgangsstufe 10,Regelklasse,4,86,48,38,42,24,18,72,38,34
07K10,Jahrgangsstufe 07,Regelklasse,4,104,56,48,18,9,9,63,30,33
07K10,Jahrgangsstufe 08,Regelklasse,5,129,71,58,30,14,16,78,41,37
07K10,Jahrgangsstufe 09,Regelklasse,4,105,47,58,21,10,11,55,25,30
07K10,Jahrgangsstufe 10,Regelklasse,4,117,69,48,33,22,11,76,49,27
07K11,Jahrgangsstufe 07,Regelklasse,5,128,71,57,17,12,5,102,60,42
07K11,Jahrgangsstufe 08,Regelklasse,5,130,79,51,47,26,21,87,49,38
07K11,Jahrgangsstufe 09,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,1,13,8,5,13,8,5,13,8,5
07K11,Jahrgangsstufe 09,Regelklasse,4,108,63,45,29,18,11,72,40,32
07K11,Jahrgangsstufe 10,Regelklasse,4,95,53,42,23,9,14,70,34,36
07K12,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,12,254,126,128,19,10,9,164,85,79
07K12,Jahrgangsstufe 04,Regelklasse,3,69,32,37,3,2,1,35,19,16
07K12,Jahrgangsstufe 05,Regelklasse,3,60,36,24,9,5,4,32,21,11
07K12,Jahrgangsstufe 06,Regelklasse,3,58,31,27,9,5,4,37,20,17
07K12,Jahrgangsstufe 07,Regelklasse,3,72,37,35,16,11,5,54,28,26
07K12,Jahrgangsstufe 08,Regelklasse,6,131,77,54,39,22,17,94,53,41
07K12,Jahrgangsstufe 09,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,2,24,16,8,24,16,8,24,16,8
07K12,Jahrgangsstufe 09,Produktives Lernen,2,26,17,9,5,4,1,8,6,2
07K12,Jahrgangsstufe 09,Regelklasse,4,91,51,40,40,24,16,66,38,28
07K12,Jahrgangsstufe 10,Produktives Lernen,1,12,4,8,4,1,3,4,1,3
07K12,Jahrgangsstufe 10,Regelklasse,3,71,43,28,27,14,13,59,36,23
07K12,Jahrgangsstufe 10,Regelklasse,3,55,30,25,11,6,5,41,21,20
07P01,1. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,76,43,33,32,16,16,35,21,14
07P01,3. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,54,25,29,5,2,3,26,10,16
07P01,E-Phase,Gymnasiale Oberstufe gem. § 5 VO-GO,1,32,10,22,4,3,1,17,5,12
07P01,E-Phase,Regelklasse,1,29,10,19,10,5,5,8,3,5
07P01,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,3,83,38,45,13,4,9,28,15,13
07P01,Jahrgangsstufe 03,Regelklasse,1,25,10,15,2,0,2,17,6,11
07P01,Jahrgangsstufe 04,Regelklasse,2,56,32,24,1,0,1,22,10,12
07P01,Jahrgangsstufe 05,Regelklasse,2,48,20,28,4,2,2,24,8,16
07P01,Jahrgangsstufe 06,Regelklasse,2,50,29,21,7,5,2,27,16,11
07P01,Jahrgangsstufe 07,Regelklasse,4,100,44,56,11,3,8,35,13,22
07P01,Jahrgangsstufe 08,Regelklasse,4,109,56,53,32,14,18,56,23,33
07P01,Jahrgangsstufe 09,Regelklasse,4,104,46,58,13,4,9,24,11,13
07P01,Jahrgangsstufe 10,Regelklasse,4,105,57,48,16,7,9,25,12,13
07P01,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,2,56,26,30,3,1,2,40,18,22
07P04,Jahrgangsstufe 03,Regelklasse,3,78,37,41,0,0,0,26,14,12
07P04,Jahrgangsstufe 04,Regelklasse,3,86,50,36,1,1,0,31,18,13
07P04,Jahrgangsstufe 05,Regelklasse,2,51,26,25,0,0,0,10,3,7
07P04,Jahrgangsstufe 06,Regelklasse,2,51,19,32,1,0,1,18,6,12
07P04,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,5,134,71,63,1,1,0,47,22,25
07P05,Jahrgangsstufe 03,Jahrgangsübergreifende Lerngruppe,1,27,13,14,0,0,0,0,0,0
07P05,Jahrgangsstufe 06,Jahrgangsübergreifende Lerngruppe,1,28,16,12,0,0,0,0,0,0
07P06,Jahrgangsstufe 03,Regelklasse,1,9,5,4,0,0,0,0,0,0
07P06,Jahrgangsstufe 04,Regelklasse,1,12,7,5,0,0,0,0,0,0
07P06,Jahrgangsstufe 05,Regelklasse,1,12,9,3,1,1,0,1,1,0
07P06,Jahrgangsstufe 06,Regelklasse,1,13,8,5,0,0,0,0,0,0
07P06,Jahrgangsstufe 07,Regelklasse,1,13,9,4,2,2,0,2,2,0
07P06,Jahrgangsstufe 08,Regelklasse,2,23,15,8,0,0,0,1,1,0
07P06,Jahrgangsstufe 09,Regelklasse,1,13,9,4,1,0,1,1,0,1
07P06,Jahrgangsstufe 10,Regelklasse,1,14,7,7,0,0,0,0,0,0
07P06,Schulanfangsphase,Jahrgangsbezogene Lerngruppe,3,30,15,15,0,0,0,3,1,2
07P11,Jahrgangsstufe 07,Regelklasse,1,8,7,1,0,0,0,1,1,0
07P11,Jahrgangsstufe 08,Regelklasse,1,7,4,3,1,1,0,3,2,1
07P11,Jahrgangsstufe 09,Regelklasse,1,6,4,2,1,0,1,1,0,1
07P13,Jahrgangsstufe 06,Jahrgangsübergreifende Lerngruppe,1,20,12,8,17,10,7,16,9,7
07P13,Jahrgangsstufe 07,Regelklasse,1,7,5,2,4,2,2,4,2,2
07P13,Jahrgangsstufe 08,Regelklasse,1,4,2,2,2,2,0,2,2,0
07S01,Jahrgangsstufe 04,Regelklasse,1,9,9,0,2,2,0,4,4,0
07S01,Jahrgangsstufe 05,Regelklasse,1,12,8,4,5,5,0,6,5,1
07S01,Jahrgangsstufe 06,Regelklasse,1,9,6,3,3,2,1,6,4,2
07S01,Jahrgangsstufe 07,Regelklasse,1,8,3,5,0,0,0,5,2,3
07S01,Jahrgangsstufe 08,Regelklasse,4,38,25,13,8,6,2,20,12,8
07S01,Jahrgangsstufe 09,Regelklasse,2,25,14,11,7,4,3,12,6,6
07S01,Jahrgangsstufe 10,Produktives Lernen,1,9,8,1,3,3,0,5,5,0
07S01,Jahrgangsstufe 10,Regelklasse,2,25,12,13,4,2,2,11,6,5
07S03,Eingangsstufe,Regelklasse,4,20,16,4,3,3,0,12,11,1
07S03,Mittelstufe,Regelklasse,7,40,28,12,12,7,5,22,14,8
07S03,Unterstufe,Regelklasse,4,22,14,8,2,1,1,12,6,6
07S04,Abschlussstufe,Regelklasse,7,54,29,25,19,12,7,32,20,12
07S04,Oberstufe,Regelklasse,5,37,21,16,9,4,5,23,14,9
07Y01,1. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,73,29,44,25,11,14,44,17,27
07Y01,3. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,100,50,50,31,13,18,65,29,36
07Y01,Jahrgangsstufe 07,Regelklasse,4,120,58,62,9,4,5,68,33,35
07Y01,Jahrgangsstufe 08,Regelklasse,6,155,82,73,47,21,26,93,49,44
07Y01,Jahrgangsstufe 09,Regelklasse,4,94,50,44,24,14,10,68,38,30
07Y01,Jahrgangsstufe 10,Regelklasse,3,60,31,29,23,12,11,49,27,22
07Y02,1. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,111,36,75,23,8,15,51,16,35
07Y02,3. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,83,36,47,16,4,12,36,14,22
07Y02,Jahrgangsstufe 05,Regelklasse,1,30,16,14,0,0,0,5,2,3
07Y02,Jahrgangsstufe 06,Regelklasse,1,29,13,16,3,2,1,6,2,4
07Y02,Jahrgangsstufe 07,Regelklasse,4,122,66,56,24,15,9,62,39,23
07Y02,Jahrgangsstufe 08,Regelklasse,4,111,54,57,26,10,16,58,22,36
07Y02,Jahrgangsstufe 09,Regelklasse,4,114,53,61,25,13,12,58,29,29
07Y02,Jahrgangsstufe 10,Regelklasse,5,121,57,64,27,11,16,55,25,30
07Y03,1. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,100,31,69,7,2,5,15,4,11
07Y03,3. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,79,33,46,3,2,1,5,2,3
07Y03,Jahrgangsstufe 07,Regelklasse,3,96,39,57,3,0,3,17,5,12
07Y03,Jahrgangsstufe 08,Regelklasse,4,128,52,76,9,2,7,19,6,13
07Y03,Jahrgangsstufe 09,Regelklasse,3,99,41,58,5,1,4,8,2,6
07Y03,Jahrgangsstufe 10,Regelklasse,3,95,37,58,5,2,3,8,3,5
07Y04,1. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,118,61,57,13,7,6,17,7,10
07Y04,3. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,107,55,52,9,4,5,11,4,7
07Y04,Jahrgangsstufe 07,Regelklasse,4,128,53,75,4,4,0,0,0,0
07Y04,Jahrgangsstufe 08,Regelklasse,4,127,49,78,6,3,3,6,2,4
07Y04,Jahrgangsstufe 09,Regelklasse,3,98,44,54,6,2,4,5,2,3
07Y04,Jahrgangsstufe 10,Regelklasse,3,90,47,43,4,3,1,2,2,0
07Y05,1. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,105,44,61,9,3,6,24,9,15
07Y05,3. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,72,31,41,7,5,2,18,10,8
07Y05,Jahrgangsstufe 07,Regelklasse,4,126,56,70,11,8,3,54,30,24
07Y05,Jahrgangsstufe 08,Regelklasse,5,154,64,90,22,6,16,43,16,27
07Y05,Jahrgangsstufe 09,Regelklasse,4,113,53,60,15,7,8,39,14,25
07Y05,Jahrgangsstufe 10,Regelklasse,4,111,36,75,9,1,8,35,11,24
07Y06,1. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,108,49,59,16,9,7,28,11,17
07Y06,3. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,97,39,58,7,2,5,18,5,13
07Y06,Jahrgangsstufe 07,Regelklasse,3,81,36,45,11,6,5,47,20,27
07Y06,Jahrgangsstufe 08,Regelklasse,5,146,74,72,24,12,12,55,23,32
07Y06,Jahrgangsstufe 09,Regelklasse,4,115,66,49,21,12,9,37,21,16
07Y06,Jahrgangsstufe 10,Regelklasse,4,97,47,50,16,6,10,39,19,20
07Y07,1. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,113,57,56,12,9,3,37,19,18
07Y07,3. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,99,58,41,9,4,5,35,18,17
07Y07,Jahrgangsstufe 05,Altsprachlicher Bildungsgang,1,32,16,16,1,0,1,10,4,6
07Y07,Jahrgangsstufe 06,Altsprachlicher Bildungsgang,1,26,15,11,1,1,0,11,6,5
07Y07,Jahrgangsstufe 07,Altsprachlicher Bildungsgang,1,31,14,17,3,0,3,13,4,9
07Y07,Jahrgangsstufe 07,Regelklasse,3,84,43,41,6,2,4,39,16,23
07Y07,Jahrgangsstufe 08,Altsprachlicher Bildungsgang,1,33,21,12,1,1,0,5,4,1
07Y07,Jahrgangsstufe 08,Regelklasse,3,92,44,48,11,5,6,46,20,26
07Y07,Jahrgangsstufe 09,Altsprachlicher Bildungsgang,1,28,14,14,2,2,0,4,4,0
07Y07,Jahrgangsstufe 09,Regelklasse,3,92,47,45,18,11,7,41,18,23
